state_key,loss,n_cycles,step_fraction,decay_factor,loss_type,huber_delta,relative_floor_frac,relative_floor_abs
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|decrease|decrease|widen_optimum|increase|lower_resp_cost,0.47444460960132645,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|decrease|higher_sensitivity|none|none|higher_resp_cost,0.49276016919779836,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|decrease|higher_sensitivity|widen_optimum|none|lower_sensitivity,0.4902293787574319,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|decrease|increase|shift_cold|none|more_fruit_growth,0.49345356086463293,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|decrease|increase|widen_optimum|lower_sensitivity|lower_sensitivity,0.4973129989293203,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|increase|decrease|widen_optimum|none|lower_sensitivity,0.48979393925496256,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|increase|higher_sensitivity|narrow_optimum|increase|lower_resp_cost,0.4849899499707055,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|increase|higher_sensitivity|widen_optimum|decrease|higher_sensitivity,0.49756127438074005,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|increase|increase|narrow_optimum|none|more_fruit_growth,0.4932788363129006,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|increase|increase|shift_cold|higher_sensitivity|more_veg_growth,0.48700432451434383,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|increase|lower_sensitivity|shift_warm|none|lower_resp_cost,0.48868965505190204,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_sensitivity|increase|higher_sensitivity|narrow_optimum|lower_sensitivity|more_veg_growth,0.49848009666495474,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_sensitivity|increase|lower_sensitivity|widen_optimum|lower_sensitivity|more_veg_growth,0.49715956369764513,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|decrease|higher_sensitivity|narrow_optimum|lower_sensitivity|none,0.49829840894498467,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|decrease|higher_sensitivity|widen_optimum|higher_sensitivity|more_veg_growth,0.4753170495396246,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|increase|none|none|higher_sensitivity|lower_sensitivity,0.47803126456254946,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|none|increase|widen_optimum|increase|lower_resp_cost,0.46823934845577897,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|none|none|narrow_optimum|higher_sensitivity|none,0.4851753366968888,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|none|none|shift_warm|higher_sensitivity|lower_resp_cost,0.471786985239327,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|decrease|higher_sensitivity|shift_warm|increase|none,0.47352568305766035,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|decrease|lower_sensitivity|widen_optimum|none|higher_resp_cost,0.4895787414839194,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|increase|higher_sensitivity|shift_warm|lower_sensitivity|higher_resp_cost,0.49703894549710853,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|decrease|decrease|narrow_optimum|lower_sensitivity|lower_sensitivity,0.49819984429197345,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|decrease|decrease|shift_warm|none|more_veg_growth,0.4886138883849864,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|decrease|lower_sensitivity|narrow_optimum|decrease|more_fruit_growth,0.49815819931584643,2,0.15,0.5,huber_relative,1.0,0.05,1e-06
