state_key,loss,n_cycles,step_fraction,decay_factor,beta,loss_type,huber_delta,relative_floor_frac,relative_floor_abs
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|none|decrease|narrow_optimum|increase|none,0.4866329398399194,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_resp_cost|none|none|none|none|none,0.4920785427675171,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_sensitivity|decrease|increase|narrow_optimum|none|none,0.49401394913062724,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_sensitivity|increase|increase|shift_cold|lower_sensitivity|lower_resp_cost,0.49812273853862554,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_sensitivity|increase|increase|shift_cold|lower_sensitivity|more_veg_growth,0.4984065325026404,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_sensitivity|increase|lower_sensitivity|narrow_optimum|higher_sensitivity|none,0.48549578870705146,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|higher_sensitivity|none|higher_sensitivity|none|increase|more_veg_growth,0.4800667714072344,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|decrease|lower_sensitivity|none|decrease|more_fruit_growth,0.49768454208946405,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_resp_cost|decrease|none|none|lower_sensitivity|none,0.4976295107139082,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|increase|decrease|none|decrease|higher_sensitivity,0.49815532728435313,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|increase|decrease|none|higher_sensitivity|none,0.4802512874243647,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|increase|increase|none|higher_sensitivity|higher_sensitivity,0.47874390505935627,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|increase|increase|shift_cold|lower_sensitivity|higher_sensitivity,0.4982072528553247,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|increase|lower_sensitivity|shift_warm|lower_sensitivity|higher_sensitivity,0.4968715003865425,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|increase|none|widen_optimum|decrease|higher_resp_cost,0.4975296917279615,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|none|decrease|narrow_optimum|none|higher_resp_cost,0.4945720767158703,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|lower_sensitivity|none|decrease|none|higher_sensitivity|more_veg_growth,0.4823088719594184,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|decrease|none|none|none|higher_resp_cost,0.49002291405490445,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|increase|higher_sensitivity|shift_warm|higher_sensitivity|more_fruit_growth,0.46332143281953164,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|increase|lower_sensitivity|shift_cold|decrease|more_fruit_growth,0.49801625173374237,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|increase|none|widen_optimum|decrease|higher_sensitivity,0.4966461454615912,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|none|higher_sensitivity|none|decrease|more_veg_growth,0.49776275773313094,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_fruit_growth|none|lower_sensitivity|shift_cold|increase|higher_sensitivity,0.4798095578025601,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_veg_growth|increase|increase|narrow_optimum|higher_sensitivity|more_veg_growth,0.49010861057959554,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_veg_growth|increase|lower_sensitivity|widen_optimum|higher_sensitivity|more_veg_growth,0.48116972753756976,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_veg_growth|none|higher_sensitivity|none|increase|higher_resp_cost,0.4831784380520771,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_veg_growth|none|higher_sensitivity|widen_optimum|increase|more_fruit_growth,0.4740574410934557,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|more_veg_growth|none|none|shift_cold|none|higher_sensitivity,0.4951720292676511,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|decrease|increase|none|none|lower_resp_cost,0.4910462764076711,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|increase|decrease|narrow_optimum|lower_sensitivity|higher_sensitivity,0.49842379426277744,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|increase|higher_sensitivity|none|lower_sensitivity|higher_resp_cost,0.49767397269627983,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|increase|higher_sensitivity|none|lower_sensitivity|more_fruit_growth,0.49717938731217926,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|increase|lower_sensitivity|widen_optimum|lower_sensitivity|more_veg_growth,0.49716356814685264,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|none|higher_sensitivity|narrow_optimum|none|none,0.4938499711969382,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|none|higher_sensitivity|none|none|higher_sensitivity,0.49121664520036346,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|decrease|none|none|higher_sensitivity|shift_cold|increase|lower_sensitivity,0.4844642706321287,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_resp_cost|decrease|increase|shift_warm|none|more_fruit_growth,0.4082000238033909,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_resp_cost|decrease|none|shift_warm|higher_sensitivity|lower_sensitivity,0.40842427163501865,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_resp_cost|increase|decrease|shift_cold|lower_sensitivity|lower_sensitivity,0.46491005125227686,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_resp_cost|increase|decrease|widen_optimum|lower_sensitivity|higher_resp_cost,0.4371976399232152,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_resp_cost|increase|higher_sensitivity|shift_cold|higher_sensitivity|more_fruit_growth,0.4273674343163254,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_resp_cost|none|decrease|widen_optimum|lower_sensitivity|more_fruit_growth,0.4256317723899365,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_resp_cost|none|none|widen_optimum|decrease|more_veg_growth,0.4590050726276258,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_sensitivity|decrease|higher_sensitivity|narrow_optimum|increase|more_veg_growth,0.45190904087994516,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_sensitivity|increase|higher_sensitivity|shift_warm|higher_sensitivity|lower_resp_cost,0.4036483321832738,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_sensitivity|none|decrease|none|higher_sensitivity|more_fruit_growth,0.4069414531281075,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
decrease|decrease|narrow_optimum|higher_sensitivity|higher_sensitivity|none|higher_sensitivity|none|decrease|higher_sensitivity,0.46591028006944873,2,0.15,0.5,2.0,huber_relative,1.0,0.05,1e-06
